"OTU_ID","kingdom","phylum","class","order","family","genus"
"OTU17790"," Fungi "," Ascomycota "," Pezizomycotina_cls_Incertae_sedis "," Pezizomycotina_ord_Incertae_sedis "," Pezizomycotina_fam_Incertae_sedis "," Ciliophora "
"OTU17789"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," Herpotrichiellaceae "," unidentified "
"OTU17786"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU17787"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Massarinaceae "," Stagonospora "
"OTU17791","",NA,NA,NA,NA,NA
"OTU17792"," Fungi "," Ascomycota "," Dothideomycetes "," Capnodiales "," Teratosphaeriaceae "," Capnobotryella "
"OTU17793"," Fungi "," Ascomycota "," Eurotiomycetes "," Eurotiales "," Aspergillaceae "," Aspergillus "
"OTU17797"," Fungi "," Basidiomycota "," Tremellomycetes "," Tremellales "," Tremellaceae "," Cryptococcus "
"OTU17799","",NA,NA,NA,NA,NA
"OTU17794"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Leptosphaeriaceae "," Plenodomus "
"OTU17795"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU17796"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Torulaceae "," Dendryphion "
"OTU17798"," Fungi "," Basidiomycota "," Tremellomycetes "," Tremellales "," Tremellaceae "," Cryptococcus "
"OTU17801"," Fungi "," Ascomycota "," Dothideomycetes "," Venturiales "," Sympoventuriaceae "," Pseudosigmoidea "
"OTU17805","",NA,NA,NA,NA,NA
"OTU17800"," Fungi "," Ascomycota "," Sordariomycetes "," Hypocreales "," unidentified "," unidentified "
"OTU17802"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU17806"," Fungi "," Ascomycota "," Sordariomycetes "," Xylariales "," unidentified "," unidentified "
"OTU17803"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU17804"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Didymosphaeriaceae "," Letendraea "
"OTU17807"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Lophiostomataceae "," Lophiostoma "
"OTU17809"," Fungi "," Ascomycota "," Pezizomycetes "," Pezizales "," Ascobolaceae "," Ascobolus "
"OTU17808"," Fungi "," Ascomycota "," Sordariomycetes "," Xylariales "," Amphisphaeriaceae "," Seimatosporium "
"OTU17810"," Fungi "," unidentified "," unidentified "," unidentified "," unidentified "," unidentified "
"OTU17811"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Melanommataceae "," Camposporium "
"OTU17816"," Fungi "," Ascomycota "," Sordariomycetes "," Xylariales "," Xylariaceae "," Xylaria "
"OTU17812"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU17813"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Cucurbitariaceae "," Pyrenochaeta "
"OTU17814"," Fungi "," Ascomycota "," Sordariomycetes "," Glomerellales "," Glomerellaceae "," Glomerella "
"OTU17815"," Fungi "," Ascomycota "," Sordariomycetes "," Coniochaetales "," Coniochaetaceae "," Coniochaeta "
"OTU17819"," Fungi "," Ascomycota "," Sordariomycetes "," Xylariales "," Xylariaceae "," Hypoxylon "
"OTU17818"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Melanommataceae "," Herpotrichia "
"OTU17817"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Phaeosphaeriaceae "," Sclerostagonospora "
"OTU17821"," Fungi "," Ascomycota "," Dothideomycetes "," Venturiales "," Sympoventuriaceae "," Pseudosigmoidea "
"OTU17820"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Lophiotremataceae "," Atrocalyx "
"OTU17823"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Lentitheciaceae "," Lentithecium "
"OTU17824"," Fungi "," Ascomycota "," Eurotiomycetes "," Chaetothyriales "," unidentified "," unidentified "
"OTU17822"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," Phaeosphaeriaceae "," Leptospora "
"OTU17828"," Fungi "," Ascomycota "," Leotiomycetes "," Helotiales "," unidentified "," unidentified "
"OTU17826"," Fungi "," Ascomycota "," Lecanoromycetes "," Ostropales "," unidentified "," unidentified "
"OTU17825"," Fungi "," Ascomycota "," Dothideomycetes "," Pleosporales "," unidentified "," unidentified "
"OTU17829"," Fungi "," Ascomycota "," Sordariomycetes "," Xylariales "," Amphisphaeriaceae "," Monochaetia "
"OTU17827"," Fungi "," Ascomycota "," Sordariomycetes "," Glomerellales "," Glomerellaceae "," Colletotrichum "
"OTU17830"," Fungi "," Ascomycota "," Dothideomycetes "," Tubeufiales "," Tubeufiaceae "," Helicosporium "
