OTU238	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3338550.08FU(0.23)	+
OTU236			
OTU240			
OTU239	k:Fungi(1.00),p:Basidiomycota(1.00),c:Agaricomycetes(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Agaricomycetes_sp|SH3237143.08FU(1.00)	+
OTU241			
OTU242			
OTU243	k:Fungi(1.00),p:Rozellomycota(1.00),c:Rozellomycotina_cls_Incertae_sedis(1.00),o:GS05(1.00),f:unidentified(1.00),g:unidentified(1.00),s:GS05_sp|SH3334283.08FU(1.00)	+
OTU245	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH1556249.08FU(0.30)	+
OTU244			
OTU246			
OTU247			
OTU248			
OTU250			
OTU251	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2734735.08FU(0.32)	+
OTU249			
OTU252			
OTU253			
OTU254			
OTU255			
OTU256			
OTU257			
OTU258	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3234251.08FU(1.00)	+
OTU259			
OTU262	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3319139.08FU(1.00)	+
OTU261	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3319140.08FU(1.00)	+
OTU260			
OTU263			
OTU264			
OTU265	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH3312802.08FU(1.00)	+
OTU266	k:Fungi(1.00),p:Zoopagomycota(1.00),c:Zoopagomycetes(1.00),o:Zoopagales(1.00),f:Piptocephalidaceae(0.95),g:Piptocephalis(0.95),s:Piptocephalis_cylindrospora|SH3316192.08FU(0.93)	+
OTU267	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH2730006.08FU(0.43)	+
OTU269	k:Fungi(1.00),p:Rozellomycota(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Rozellomycota_sp|SH3335659.08FU(1.00)	+
OTU268	k:Fungi(1.00),p:unidentified(1.00),c:unidentified(1.00),o:unidentified(1.00),f:unidentified(1.00),g:unidentified(1.00),s:Fungi_sp|SH1529829.08FU(1.00)	+
